run_id,model_role,participant_key,observations,score_energy,score_share,leverage,leverage_share,score_rank,leverage_rank
gap_timing_unaware__chest__all_available,additive,THUAS::THUAS_S002,48,0.5398059747261761,5.6166224444626734e-5,0.028320506546280568,0.0025745915042073215,142,144
gap_timing_unaware__chest__all_available,additive,FUSPCEU::FUSPCEU_S009,144,0.4820705141505315,5.0158912579005944e-5,0.07010456428036342,0.0063731422073057585,143,79
gap_timing_unaware__chest__all_available,additive,FUSPCEU::FUSPCEU_S007,140,0.45933126381658884,4.77929183185559e-5,0.07602591096885765,0.006911446451714324,144,68
gap_timing_unaware__chest__all_available,additive,IZTECH::IZTECH_S009,90,0.44005464660057114,4.5787207267215246e-5,0.046445009746975636,0.004222273613361417,145,112
gap_timing_unaware__chest__all_available,additive,IZTECH::IZTECH_S008,120,0.4036292076731639,4.199717997207721e-5,0.05880849853153293,0.00534622713923026,146,90
gap_timing_unaware__chest__all_available,additive,FUSPCEU::FUSPCEU_S005,114,0.16804189325339156,1.7484576189357095e-5,0.05703688338780518,0.0051851712170731925,147,93
gap_timing_unaware__chest__all_available,additive,IZTECH::IZTECH_S002,137,0.166638950517991,1.7338601523923952e-5,0.051593382837286185,0.0046903075306623755,148,103
gap_timing_unaware__chest__all_available,additive,UCR::UCR_S011,104,0.11209625339187736,1.1663493221992731e-5,0.030598252044561063,0.0027816592767782753,149,142
gap_timing_unaware__chest__all_available,full,BAUA::BAUA_S009,140,2345.884298064623,0.17680272493984198,0.46058902617824016,0.014393407068070074,1,4
gap_timing_unaware__chest__all_available,full,RISE::RISE_S010,113,1955.0650850188601,0.14734777616749972,0.17059562382160096,0.005331113244425055,2,93
gap_timing_unaware__chest__all_available,full,RISE::RISE_S012,168,1402.917614779447,0.10573396879110568,0.44592953929435386,0.013935298102948624,3,7
gap_timing_unaware__chest__all_available,full,BAUA::BAUA_S002,141,914.4666423143091,0.06892078793534077,0.23565736240536947,0.0073642925751678315,4,52
gap_timing_unaware__chest__all_available,full,RISE::RISE_S002,118,476.7232826999555,0.03592929774633621,0.3134312589550165,0.009794726842344312,5,23
gap_timing_unaware__chest__all_available,full,RISE::RISE_S008,48,350.08094703257,0.026384619836512416,0.10654216972770475,0.0033294428039907895,6,120
gap_timing_unaware__chest__all_available,full,THUAS::THUAS_S011,143,287.3102419147858,0.02165376771376471,0.44180700375146376,0.013806468867233308,7,8
gap_timing_unaware__chest__all_available,full,BAUA::BAUA_S022,120,283.46653540478627,0.02136407832652699,0.22910028657411632,0.007159383955441169,8,55
gap_timing_unaware__chest__all_available,full,RISE::RISE_S014,144,275.7120411042605,0.02077964382394111,0.25529532039273345,0.007977978762272958,9,45
gap_timing_unaware__chest__all_available,full,THUAS::THUAS_S006,117,267.99548623209637,0.020198068709741317,0.18318426614479102,0.005724508317024747,10,90
gap_timing_unaware__chest__all_available,full,RISE::RISE_S006,119,259.6491963272127,0.019569032231028894,0.22077941790016306,0.006899356809380129,11,62
gap_timing_unaware__chest__all_available,full,RISE::RISE_S001,139,227.95026538348375,0.017179972645628677,0.25340419934098596,0.00791888122940585,12,46
gap_timing_unaware__chest__all_available,full,RISE::RISE_S004,142,210.37039954778626,0.01585502742714863,0.2236251926338051,0.006988287269806442,13,60
gap_timing_unaware__chest__all_available,full,RISE::RISE_S007,142,200.1130721554536,0.015081961408905243,0.38931630211458335,0.012166134441080787,14,13
gap_timing_unaware__chest__all_available,full,BAUA::BAUA_S008,144,193.10643567096088,0.014553890853957906,0.1891633391122241,0.005911354347257032,15,85
gap_timing_unaware__chest__all_available,full,THUAS::THUAS_S003,94,186.9763896508568,0.014091886465567912,0.4073171925620097,0.012728662267562864,16,11
gap_timing_unaware__chest__all_available,full,UCR::UCR_S029,136,179.7013361537393,0.013543586072647995,0.12673047063393053,0.003960327207310348,17,104
gap_timing_unaware__chest__all_available,full,UCR::UCR_S007,118,175.4009356155065,0.013219476936438851,0.08248995715043558,0.002577811160951124,18,140
gap_timing_unaware__chest__all_available,full,THUAS::THUAS_S001,161,171.4077657037862,0.012918522911501475,0.5859244847751786,0.018310140149224417,19,2
gap_timing_unaware__chest__all_available,full,RISE::RISE_S009,135,170.0113976147665,0.012813282562111098,0.2443739860887931,0.007636687065274821,20,47
gap_timing_unaware__chest__all_available,full,THUAS::THUAS_S019,165,151.99353200316148,0.011455326528064661,0.42188667236793065,0.013183958511497895,21,10
gap_timing_unaware__chest__all_available,full,THUAS::THUAS_S018,154,126.03403988588438,0.009498832361589575,0.18745214806646396,0.0058578796270770265,22,89
gap_timing_unaware__chest__all_available,full,RISE::RISE_S003,141,118.6625575353492,0.0089432643962403,0.27020624391359555,0.0084439451222999,23,39
gap_timing_unaware__chest__all_available,full,THUAS::THUAS_S020,168,104.84040842253667,0.007901527755739221,0.33617088989902905,0.010505340309344708,24,19
gap_timing_unaware__chest__all_available,full,KNUST::KNUST_S007,92,103.11664629355327,0.007771612635115497,0.2675689669560375,0.008361530217376211,25,40
gap_timing_unaware__chest__all_available,full,RISE::RISE_S017,120,96.1509550479358,0.007246628008068539,0.21875679617825694,0.006836149880570562,26,67
gap_timing_unaware__chest__all_available,full,BAUA::BAUA_S016,134,84.18197112982112,0.006344559234587398,0.18035559094181056,0.005636112216931607,27,92
